Subprefecture,Neighborhood,Latitude,Longitude,Less than 2 Minimum Wage,From 2 to Less than 5 Minimum Wage,From 5 to Less than 10 Minimum Wage,From 10 to Less than 15 Minimum Wage,From 15 to Less than 25 Minimum Wage,From 25 Minimum Wage and more,Zone,Cluster Labels
Aricanduva,Aricanduva,-23.578023899999998,-46.511454,11.64,24.95,28.47,13.72,13.33,7.88,East,4
Butantã,Raposo Tavares,-23.59161035,-46.78035945303711,12.73,27.95,29.05,12.5,10.54,7.24,West,4
Campo Limpo,Campo Limpo,-23.632557650000006,-46.759666126372395,16.07,28.25,28.71,11.26,9.96,5.76,South,4
Capela do Socorro,Cidade Dutra,-23.7139643,-46.699088200000006,15.3,27.1,29.26,12.03,9.64,6.67,South,4
Casa Verde,Cachoeirinha,-23.449511450000006,-46.663661194973535,15.74,29.57,28.54,11.17,9.35,5.62,North,4
Cidade Ademar,Cidade Ademar,-23.673011600000002,-46.655280600000005,16.73,28.46,28.84,10.73,8.66,6.58,South,4
Ermelino Matarazzo,Ermelino Matarazzo,-23.4916735,-46.48407014366894,15.73,31.16,28.99,11.12,9.04,3.97,East,4
Ermelino Matarazzo,Ponte Rasa,-23.511045499999998,-46.4870517,11.81,23.99,30.66,13.89,12.35,7.3,East,4
Itaquera,Cidade Líder,-23.562769600000003,-46.494333399999995,14.03,26.7,30.78,13.63,9.14,5.72,East,4
Itaquera,Itaquera,-23.5360799,-46.455509899999996,17.5,29.22,29.28,11.11,8.62,4.28,East,4
Itaquera,José Bonifácio,-23.564091,-46.434766582998,13.76,25.52,32.0,15.65,10.07,3.0,East,4
Itaquera,Parque do Carmo,-23.5787082,-46.458056,16.08,29.07,30.8,11.41,8.25,4.39,East,4
Jaçanã,Jaçanã,-23.4639591,-46.5824232,12.37,25.74,28.58,12.99,12.29,8.02,North,4
Jaçanã,Tremembé,-23.460388000000002,-46.624512,13.14,27.78,28.3,11.43,9.74,9.62,North,4
M'Boi Mirim,Jardim São Luís,-23.68357325,-46.73776208937198,16.16,31.76,30.08,10.26,7.85,3.89,South,4
Penha,Artur Alvim,-23.539221,-46.48526468200837,12.03,23.22,31.51,15.87,12.6,4.77,East,4
Penha,Cangaíba,-23.505899600000003,-46.531425299999995,12.05,27.17,30.24,12.56,11.56,6.42,East,4
Pirituba,Jaraguá,-23.446592000000006,-46.736177516014244,15.66,31.57,32.01,10.77,7.42,2.58,North,4
São Mateus,São Mateus,-23.5982995,-46.4817046,15.19,29.02,29.37,12.68,9.81,3.93,East,4
São Miguel,São Miguel,-23.5026845,-46.438328675119955,17.47,30.4,28.29,10.75,8.87,4.23,East,4
Sapopemba,Sapopemba,-23.604326500000003,-46.509885100000005,18.08,31.19,30.19,10.75,6.79,3.0,East,4
Sé,Sé,-23.550442800000003,-46.633446299999996,11.02,25.04,31.85,14.56,10.45,7.09,Center,4
Vila Maria/Vila Guilherme,Vila Maria,-23.5131836,-46.589155700000006,12.26,27.16,29.32,12.11,10.93,8.22,North,4
Vila Maria/Vila Guilherme,Vila Medeiros,-23.487707,-46.5844955,12.32,24.21,31.25,13.8,11.97,6.45,North,4
